[transformers] The following generation flags are not valid and may be ignored: ['cache_implementation']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading weights: 100%|██████████| 340/340 [00:02<00:00, 153.80it/s]
  0%|          | 10/14955 [00:02<1:04:32,  3.86it/s]
{'loss': '2.636', 'grad_norm': '15.65', 'learning_rate': '4.806e-05', 'epoch': '0.1164'}
{'loss': '2.397', 'grad_norm': '58.4', 'learning_rate': '4.803e-05', 'epoch': '0.1184'}
{'loss': '2.868', 'grad_norm': '13.09', 'learning_rate': '4.8e-05', 'epoch': '0.1204'}
{'loss': '2.733', 'grad_norm': '12.1', 'learning_rate': '4.796e-05', 'epoch': '0.1224'}
{'loss': '2.503', 'grad_norm': '7.05', 'learning_rate': '4.793e-05', 'epoch': '0.1244'}
{'loss': '2.837', 'grad_norm': '16.3', 'learning_rate': '4.79e-05', 'epoch': '0.1264'}
{'loss': '2.582', 'grad_norm': '12.06', 'learning_rate': '4.786e-05', 'epoch': '0.1284'}
{'loss': '2.517', 'grad_norm': '12.14', 'learning_rate': '4.783e-05', 'epoch': '0.1304'}
{'loss': '2.603', 'grad_norm': '6.489', 'learning_rate': '4.78e-05', 'epoch': '0.1324'}
{'loss': '3.132', 'grad_norm': '17.82', 'learning_rate': '4.776e-05', 'epoch': '0.1344'}
{'loss': '2.699', 'grad_norm': '116.2', 'learning_rate': '4.773e-05', 'epoch': '0.1364'}
{'loss': '2.534', 'grad_norm': '15.84', 'learning_rate': '4.77e-05', 'epoch': '0.1384'}
{'loss': '2.449', 'grad_norm': '12.8', 'learning_rate': '4.766e-05', 'epoch': '0.1404'}
{'loss': '2.889', 'grad_norm': '15.89', 'learning_rate': '4.763e-05', 'epoch': '0.1424'}
{'loss': '2.488', 'grad_norm': '25.2', 'learning_rate': '4.76e-05', 'epoch': '0.1444'}
{'loss': '2.484', 'grad_norm': '8.687', 'learning_rate': '4.756e-05', 'epoch': '0.1465'}
{'loss': '2.624', 'grad_norm': '19.34', 'learning_rate': '4.753e-05', 'epoch': '0.1485'}
{'loss': '3.027', 'grad_norm': '14.37', 'learning_rate': '4.75e-05', 'epoch': '0.1505'}
{'loss': '2.545', 'grad_norm': '23.27', 'learning_rate': '4.746e-05', 'epoch': '0.1525'}
{'loss': '2.486', 'grad_norm': '16.98', 'learning_rate': '4.743e-05', 'epoch': '0.1545'}
{'loss': '2.561', 'grad_norm': '14.19', 'learning_rate': '4.74e-05', 'epoch': '0.1565'}
{'loss': '2.646', 'grad_norm': '13.28', 'learning_rate': '4.736e-05', 'epoch': '0.1585'}
{'loss': '2.468', 'grad_norm': '15.08', 'learning_rate': '4.733e-05', 'epoch': '0.1605'}
{'loss': '2.241', 'grad_norm': '11.53', 'learning_rate': '4.73e-05', 'epoch': '0.1625'}
{'loss': '2.496', 'grad_norm': '15.27', 'learning_rate': '4.726e-05', 'epoch': '0.1645'}
{'loss': '2.425', 'grad_norm': '15.62', 'learning_rate': '4.723e-05', 'epoch': '0.1665'}
{'loss': '2.479', 'grad_norm': '14.54', 'learning_rate': '4.719e-05', 'epoch': '0.1685'}
{'loss': '2.843', 'grad_norm': '34.4', 'learning_rate': '4.716e-05', 'epoch': '0.1705'}
{'loss': '2.199', 'grad_norm': '13.44', 'learning_rate': '4.713e-05', 'epoch': '0.1725'}
{'loss': '2.668', 'grad_norm': '8.16', 'learning_rate': '4.709e-05', 'epoch': '0.1745'}
{'loss': '2.345', 'grad_norm': '16.53', 'learning_rate': '4.706e-05', 'epoch': '0.1765'}
{'loss': '2.377', 'grad_norm': '8.978', 'learning_rate': '4.703e-05', 'epoch': '0.1786'}
{'loss': '2.506', 'grad_norm': '10.01', 'learning_rate': '4.699e-05', 'epoch': '0.1806'}
{'loss': '2.939', 'grad_norm': '12.5', 'learning_rate': '4.696e-05', 'epoch': '0.1826'}
{'loss': '2.45', 'grad_norm': '12.4', 'learning_rate': '4.693e-05', 'epoch': '0.1846'}
{'loss': '2.264', 'grad_norm': '12.78', 'learning_rate': '4.689e-05', 'epoch': '0.1866'}
{'loss': '2.262', 'grad_norm': '15.61', 'learning_rate': '4.686e-05', 'epoch': '0.1886'}
{'loss': '2.281', 'grad_norm': '13.65', 'learning_rate': '4.683e-05', 'epoch': '0.1906'}
{'loss': '2.585', 'grad_norm': '16.37', 'learning_rate': '4.679e-05', 'epoch': '0.1926'}
{'loss': '2.539', 'grad_norm': '24.4', 'learning_rate': '4.676e-05', 'epoch': '0.1946'}
{'loss': '2.3', 'grad_norm': '9.811', 'learning_rate': '4.673e-05', 'epoch': '0.1966'}
{'loss': '2.326', 'grad_norm': '10.26', 'learning_rate': '4.669e-05', 'epoch': '0.1986'}
{'loss': '2.418', 'grad_norm': '10.65', 'learning_rate': '4.666e-05', 'epoch': '0.2006'}
{'loss': '2.301', 'grad_norm': '10', 'learning_rate': '4.663e-05', 'epoch': '0.2026'}
{'loss': '2.441', 'grad_norm': '9.806', 'learning_rate': '4.659e-05', 'epoch': '0.2046'}
{'loss': '2.692', 'grad_norm': '13.59', 'learning_rate': '4.656e-05', 'epoch': '0.2066'}
{'loss': '2.415', 'grad_norm': '13.24', 'learning_rate': '4.653e-05', 'epoch': '0.2086'}
{'loss': '2.504', 'grad_norm': '12.52', 'learning_rate': '4.649e-05', 'epoch': '0.2107'}
{'loss': '2.036', 'grad_norm': '17.1', 'learning_rate': '4.646e-05', 'epoch': '0.2127'}
{'loss': '2.506', 'grad_norm': '16.61', 'learning_rate': '4.643e-05', 'epoch': '0.2147'}
{'loss': '2.366', 'grad_norm': '16.51', 'learning_rate': '4.639e-05', 'epoch': '0.2167'}
{'loss': '2.238', 'grad_norm': '8.347', 'learning_rate': '4.636e-05', 'epoch': '0.2187'}
{'loss': '2.255', 'grad_norm': '13.11', 'learning_rate': '4.633e-05', 'epoch': '0.2207'}
